LoanID,CustomerID,LoanAmount,InterestRate,TermMonths,OriginationDate,Status,RiskGradeAtOrigination
5082,3880,34533.0,10.93,48,2018-03-24,PaidOff,D
5083,9226,10304.0,6.44,36,2019-08-12,PaidOff,C
5084,7997,76559.0,7.56,24,2015-09-20,PaidOff,C
5085,5063,211386.0,6.71,24,2016-01-11,PaidOff,C
5086,1465,17521.0,7.64,36,2023-04-04,Current,D
5087,6346,35874.0,4.91,48,2023-10-08,PaidOff,A
5088,3210,214221.0,4.02,60,2020-12-11,Current,A
5089,5814,81173.0,7.22,36,2018-05-04,PaidOff,B
5090,4622,74667.0,5.97,48,2019-07-08,Current,B
5091,6814,24960.0,7.51,36,2020-10-12,PaidOff,C
5092,10982,36423.0,4.88,48,2016-12-19,PaidOff,B
5093,9170,117210.0,5.59,36,2019-08-08,PaidOff,B
5094,1197,20057.0,11.67,36,2016-11-19,PaidOff,E
5095,6620,106371.0,8.13,24,2019-05-08,PaidOff,D
5096,6732,10860.0,8.39,60,2019-11-12,PaidOff,C
5097,9784,58300.0,6.42,36,2019-07-29,Current,C
5098,7009,16432.0,6.16,36,2018-09-23,PaidOff,A
5099,1821,54589.0,6.18,36,2015-12-29,Current,C
5100,9725,21782.0,8.95,48,2024-09-15,Defaulted,E
5101,5628,668469.0,4.37,48,2022-12-04,Current,A
5102,10049,8411.0,6.86,24,2019-12-04,Current,B
5103,1365,444531.0,4.88,36,2023-03-01,Current,C
5104,5241,164835.0,8.38,48,2023-07-09,Current,E
5105,10193,32424.0,8.96,36,2015-11-19,PaidOff,D
5106,1169,44777.0,5.72,36,2022-09-19,Defaulted,D
5107,3485,718395.0,6.92,48,2017-12-01,Defaulted,D
5108,8774,185107.0,6.53,48,2018-03-22,PaidOff,B
5109,2782,13610.0,8.56,24,2021-02-15,PaidOff,C
5110,7405,45706.0,10.26,36,2018-01-31,Defaulted,D
5111,7096,297391.0,12.07,12,2023-12-25,Current,D
5112,8937,12551.0,6.51,60,2023-09-16,Current,B
5113,3308,1252937.0,7.17,60,2024-12-24,Defaulted,D
5114,9151,226684.0,8.86,60,2018-08-13,PaidOff,D
5115,3862,120722.0,5.44,36,2020-02-18,Current,A
5116,8137,61154.0,6.81,48,2017-04-06,PaidOff,D
5117,6732,5741.0,7.19,36,2022-07-07,Current,C
5118,2278,49657.0,11.09,48,2024-11-02,Current,D
5119,10618,6925.0,8.89,48,2018-04-01,PaidOff,E
5120,7285,27579.0,9.8,48,2023-07-28,Current,C
5121,8909,52835.0,6.73,36,2019-07-09,Current,D
5122,5528,6880.0,5.7,36,2019-06-16,Current,A
5123,7539,27149.0,6.82,48,2018-02-14,Defaulted,E
5124,1288,16826.0,4.68,24,2023-01-13,Current,B
5125,8890,15679.0,4.85,36,2024-07-17,Current,B
5126,1724,8244.0,8.41,24,2018-12-18,Current,A
5127,3037,95528.0,4.92,36,2024-09-25,PaidOff,C
5128,2462,16953.0,4.17,36,2015-03-08,Current,A
5129,10230,39732.0,9.0,12,2022-08-10,Current,C
5130,10527,46346.0,8.76,36,2017-11-15,PaidOff,B
5131,1722,38963.0,6.64,48,2023-01-22,Current,B
5132,3957,59091.0,8.15,36,2021-04-05,PaidOff,E
5133,7163,13789.0,8.96,36,2017-01-09,Current,A
5134,2377,45484.0,9.74,12,2021-08-24,PaidOff,D
5135,1979,181228.0,5.18,36,2024-08-09,PaidOff,B
5136,2478,125274.0,4.8,36,2022-09-11,PaidOff,C
5137,3626,71024.0,10.23,48,2019-03-29,Current,D
5138,2942,104647.0,11.39,36,2018-03-28,PaidOff,D
5139,8433,59627.0,10.65,36,2022-02-24,PaidOff,E
5140,6858,18483.0,7.66,60,2021-05-31,Current,D
5141,10296,31861.0,8.39,24,2019-02-14,Defaulted,D
5142,6972,35499.0,12.51,36,2021-09-07,Current,D
5143,1439,6987.0,10.1,36,2016-12-19,PaidOff,D
5144,6021,198973.0,7.55,24,2022-09-02,PaidOff,B
5145,5738,67292.0,6.43,24,2019-11-09,Current,C
5146,2921,287073.0,8.85,48,2022-07-14,Defaulted,D
5147,10752,203278.0,5.66,36,2022-03-25,PaidOff,E
5148,5870,66982.0,7.98,36,2017-04-15,PaidOff,B
5149,8460,111307.0,10.18,60,2016-03-20,PaidOff,E
5150,5043,19811.0,7.15,36,2017-10-03,PaidOff,D
5151,6010,198843.0,6.04,36,2016-10-13,Current,B
5152,8485,29903.0,8.78,60,2024-05-29,PaidOff,D
5153,7512,18673.0,6.38,48,2019-09-25,Current,C
5154,4223,121893.0,6.01,36,2017-06-07,PaidOff,C
5155,1726,78693.0,7.25,48,2024-04-25,PaidOff,A
5156,1756,28384.0,7.73,48,2022-03-18,PaidOff,C
5157,3678,13693.0,5.74,48,2021-10-20,Current,B
5158,7147,72946.0,5.08,12,2024-01-04,Current,E
5159,2356,17500.0,6.28,12,2017-01-17,PaidOff,B
5160,5379,12596.0,9.45,36,2019-02-06,PaidOff,B
5161,9026,78300.0,7.84,60,2020-05-23,PaidOff,C
5162,9639,59626.0,11.05,36,2021-06-15,Current,D
5163,4967,75728.0,9.82,36,2016-01-28,PaidOff,D
5164,4359,44692.0,5.03,36,2016-02-02,PaidOff,C
5165,8849,41383.0,8.85,60,2021-02-06,PaidOff,B
5166,1913,12190.0,6.78,36,2022-07-01,Current,C
5167,10052,405498.0,11.96,36,2020-01-26,PaidOff,E
5168,3542,68118.0,6.28,12,2022-04-13,Current,A
5169,3986,82753.0,4.79,36,2024-06-18,Current,B
5170,8424,122266.0,7.53,36,2021-06-26,Current,B
5171,3271,72819.0,5.22,36,2021-10-19,Current,C
5172,7148,11650.0,5.38,48,2022-12-22,Current,B
5173,5777,7697.0,5.9,36,2021-12-09,PaidOff,A
5174,1834,18739.0,4.8,36,2023-04-03,PaidOff,B
5175,10393,9514.0,5.6,24,2016-03-13,Current,A
5176,5620,39341.0,6.6,60,2024-09-14,PaidOff,C
5177,4772,28842.0,8.92,36,2018-01-18,PaidOff,D
5178,10493,293387.0,9.07,60,2019-05-15,Current,D
5179,1815,67080.0,9.36,48,2016-05-30,PaidOff,E
5180,6650,64037.0,9.12,36,2019-04-27,PaidOff,E
5181,1558,792562.0,6.56,36,2015-10-09,PaidOff,B
5182,1207,741408.0,5.31,48,2019-06-01,Current,A
5183,5533,33734.0,8.34,36,2015-04-11,PaidOff,E
5184,4861,108325.0,7.1,60,2023-08-18,Current,C
5185,8248,152797.0,6.41,60,2017-10-17,Current,D
5186,8147,103029.0,7.16,24,2019-05-14,Current,C
5187,2988,14514.0,9.59,36,2024-03-05,PaidOff,E
5188,1775,105696.0,8.83,36,2024-07-29,Current,B
5189,8288,17505.0,5.83,36,2019-07-05,PaidOff,A
5190,3912,1999833.0,7.29,36,2015-01-24,PaidOff,B
5191,7838,173936.0,7.09,48,2017-09-09,PaidOff,C
5192,8282,81298.0,5.57,36,2019-11-01,Current,B
5193,5481,86270.0,8.25,36,2019-09-12,PaidOff,D
5194,5562,17788.0,6.05,24,2023-04-20,PaidOff,D
5195,10912,19065.0,11.31,24,2017-06-29,Current,D
5196,10924,5062.0,10.6,36,2017-02-24,PaidOff,D
5197,5805,47546.0,7.86,36,2023-08-20,Current,C
5198,8028,33275.0,7.48,24,2024-09-23,Current,D
5199,3595,416211.0,7.88,36,2022-01-24,PaidOff,C
5200,1851,16790.0,9.84,60,2017-06-03,Current,D
5201,4393,17270.0,5.79,48,2024-03-11,Current,B
5202,5692,17795.0,11.3,48,2024-04-03,PaidOff,E
5203,7710,264663.0,6.17,36,2022-09-07,Current,B
5204,4857,44580.0,5.06,24,2019-03-01,PaidOff,C
5205,7985,25454.0,8.77,60,2019-05-23,PaidOff,C
5206,5552,18030.0,8.77,60,2019-11-21,PaidOff,D
5207,6971,41235.0,5.53,24,2016-06-18,Current,B
5208,3083,37621.0,6.27,24,2024-10-29,Current,C
5209,7634,14694.0,6.39,12,2018-10-04,PaidOff,C
5210,10653,14278.0,6.8,48,2024-07-11,PaidOff,B
5211,1008,35072.0,5.73,48,2023-08-16,PaidOff,C
5212,6227,30579.0,7.87,60,2018-11-21,PaidOff,D
5213,6607,46637.0,4.61,36,2019-02-17,PaidOff,A
5214,9928,13752.0,7.62,36,2019-08-31,PaidOff,D
5215,10667,57547.0,6.54,36,2017-02-26,Current,A
5216,6327,71430.0,7.22,24,2018-11-13,PaidOff,C
5217,5175,54677.0,11.13,36,2016-09-23,Current,D
5218,1303,7865.0,9.18,12,2024-04-02,Defaulted,D
5219,7036,12205.0,8.46,12,2016-07-31,PaidOff,E
5220,4303,17365.0,6.34,48,2021-09-23,Current,A
5221,6854,12463.0,8.53,60,2024-01-28,PaidOff,D
5222,4634,71274.0,7.94,48,2024-12-22,Current,C
5223,5816,11682.0,7.81,48,2022-10-30,Current,C
5224,7243,23639.0,7.85,60,2015-05-11,PaidOff,E
5225,3998,164895.0,8.34,36,2015-11-01,PaidOff,D
5226,10542,13837.0,7.89,60,2018-10-17,Current,D
5227,7926,41528.0,6.99,36,2017-11-12,Current,A
5228,3186,82688.0,10.24,36,2015-08-13,Current,E
5229,5385,46199.0,6.6,48,2018-05-05,Current,C
5230,9201,143402.0,6.27,36,2020-10-03,PaidOff,E
5231,6511,293920.0,10.46,48,2015-03-26,PaidOff,E
5232,3416,111615.0,4.24,36,2021-11-27,Current,B
5233,8132,29556.0,6.32,60,2015-06-11,Current,B
5234,2312,1191827.0,9.47,36,2023-05-20,Defaulted,E
5235,3296,28531.0,7.47,12,2020-01-06,PaidOff,D
5236,5357,113187.0,7.18,36,2018-01-07,PaidOff,B
5237,2211,22700.0,4.79,24,2023-11-25,Current,B
5238,3031,79061.0,6.64,36,2020-08-04,Current,D
5239,5244,17012.0,6.16,60,2022-03-07,Current,B
5240,1328,119389.0,6.1,60,2020-01-26,Current,D
5241,9956,64437.0,5.81,24,2020-09-05,PaidOff,C
5242,2849,192956.0,8.28,60,2024-04-25,PaidOff,A
5243,1272,6042.0,7.86,36,2022-07-06,Current,A
5244,4303,18167.0,5.07,36,2017-09-16,PaidOff,B
5245,5546,55049.0,5.45,24,2015-08-24,PaidOff,C
5246,8256,192236.0,4.43,24,2016-08-25,PaidOff,C
5247,7753,18433.0,7.18,36,2020-06-19,Current,A
5248,10286,413457.0,5.93,36,2018-07-16,PaidOff,A
5249,8257,30574.0,6.54,36,2021-12-11,Defaulted,D
5250,10300,75507.0,4.83,36,2015-03-05,PaidOff,C
5251,6794,680171.0,11.64,24,2022-08-08,PaidOff,D
5252,4325,83797.0,7.18,36,2023-07-07,Current,A
5253,4311,28077.0,9.07,36,2019-08-21,Current,D
5254,9650,92775.0,8.73,48,2023-06-27,Current,B
5255,7598,310973.0,6.59,36,2023-09-12,Current,A
5256,3166,141328.0,4.71,48,2015-06-30,PaidOff,B
5257,1845,14093.0,6.76,36,2018-02-25,PaidOff,C
5258,7476,10166.0,6.24,24,2020-12-15,PaidOff,C
5259,7921,135237.0,6.2,36,2020-03-17,PaidOff,A
5260,4377,10694.0,5.41,48,2018-10-01,PaidOff,C
5261,8841,12044.0,9.89,36,2023-02-25,Defaulted,C
5262,2658,36504.0,5.53,36,2019-07-05,PaidOff,D
5263,6810,10469.0,7.44,36,2018-07-01,PaidOff,B
5264,8319,21358.0,6.99,60,2023-05-25,PaidOff,B
5265,5259,122216.0,5.79,36,2024-04-23,PaidOff,A
5266,7883,37161.0,8.32,24,2020-07-27,Current,B
5267,4213,15732.0,6.9,36,2015-04-24,PaidOff,A
5268,8102,5317.0,7.56,36,2016-02-25,PaidOff,D
5269,6478,27076.0,4.95,36,2018-06-07,Current,B
5270,5314,76875.0,5.2,36,2022-07-16,PaidOff,A
5271,3754,20781.0,7.95,12,2024-11-07,PaidOff,D
5272,4482,12496.0,5.81,48,2015-08-08,PaidOff,C
5273,8835,60046.0,7.94,60,2019-04-17,PaidOff,D
5274,9028,13208.0,6.25,24,2017-10-29,Defaulted,E
5275,8120,82635.0,7.89,24,2016-07-05,Current,D
5276,7665,13042.0,6.22,24,2022-07-01,PaidOff,C
5277,8824,144621.0,7.05,48,2021-08-13,Current,B
5278,1935,30686.0,5.31,60,2023-11-22,PaidOff,A
5279,6631,61721.0,6.68,36,2023-04-24,PaidOff,A
5280,8340,5996.0,6.69,36,2019-01-12,Current,B
5281,1317,32253.0,5.41,24,2020-07-04,Current,B
5282,4593,139581.0,9.04,48,2023-05-28,Current,C
5283,8356,143272.0,5.58,48,2018-08-03,Current,D
5284,4919,14987.0,7.56,24,2023-08-20,Current,D
5285,4175,77641.0,5.58,60,2021-01-24,PaidOff,A
5286,9890,36141.0,10.0,36,2022-09-23,Current,D
5287,3909,35927.0,5.58,24,2017-06-07,PaidOff,B
5288,7943,24839.0,8.9,60,2023-03-02,Current,C
5289,9252,58244.0,8.34,36,2015-01-05,Current,C
5290,1346,28941.0,5.75,48,2020-03-03,Defaulted,D
5291,2132,51130.0,7.81,48,2015-04-15,Current,C
5292,3459,7129.0,8.15,60,2016-03-01,Current,E
5293,1671,11333.0,7.41,48,2015-07-13,Current,C
5294,4125,5422.0,8.57,36,2018-02-10,Current,C
5295,6846,38373.0,6.09,24,2015-01-05,PaidOff,C
5296,5866,6131.0,11.09,36,2023-02-10,PaidOff,D
5297,6250,19420.0,5.35,36,2022-08-09,PaidOff,B
5298,4538,33855.0,11.37,36,2018-02-27,Defaulted,E
5299,10887,220586.0,4.94,48,2023-11-15,Current,D
5300,5574,223408.0,4.76,36,2015-07-15,PaidOff,A
5301,5461,77463.0,11.01,36,2016-06-04,PaidOff,D
5302,10144,426117.0,7.01,60,2021-06-25,PaidOff,B
5303,1632,124259.0,6.87,36,2021-06-23,PaidOff,C
5304,9072,61513.0,7.31,24,2021-12-12,PaidOff,C
5305,9719,75798.0,9.38,36,2022-07-10,Current,D
5306,3791,18519.0,7.82,36,2022-09-25,PaidOff,C
5307,1719,64809.0,7.55,24,2016-05-31,Current,D
5308,8324,220086.0,5.1,36,2016-05-25,PaidOff,D
5309,3786,60117.0,6.43,36,2016-04-10,PaidOff,B
5310,1708,325271.0,10.06,36,2019-05-16,PaidOff,D
5311,4966,163886.0,6.81,36,2015-09-28,PaidOff,D
5312,2515,35019.0,6.26,36,2019-03-25,PaidOff,A
5313,8820,41402.0,7.66,36,2017-01-06,PaidOff,C
5314,3182,32851.0,5.42,24,2020-10-19,Current,C
5315,6528,13609.0,8.28,36,2016-01-01,Current,B
5316,5449,65155.0,8.63,48,2018-06-20,PaidOff,C
5317,1498,106879.0,7.59,36,2018-04-07,Current,D
5318,1663,146314.0,7.21,36,2019-10-01,Current,D
5319,8154,60227.0,7.75,48,2024-04-06,PaidOff,E
5320,8091,31330.0,7.22,36,2017-09-22,PaidOff,C
5321,6250,12143.0,5.1,36,2018-02-08,Current,B
5322,5930,42176.0,7.77,36,2024-10-31,Current,D
5323,10250,181795.0,9.68,60,2022-10-06,PaidOff,D
5324,6923,13042.0,8.95,48,2023-04-07,Current,E
5325,2528,20512.0,4.63,36,2016-07-15,PaidOff,A
5326,4563,55768.0,10.66,48,2024-07-14,Current,E
5327,5851,245771.0,6.58,48,2016-01-23,PaidOff,B
5328,7740,7473.0,9.91,48,2023-07-22,Defaulted,E
5329,5718,235230.0,4.31,48,2024-08-26,PaidOff,C
5330,5022,12318.0,4.71,36,2021-09-24,PaidOff,C
5331,5516,116939.0,6.31,36,2022-08-15,PaidOff,D
5332,3642,19333.0,4.92,36,2024-08-12,Current,C
5333,6036,49390.0,11.18,24,2021-10-15,Current,E
5334,1109,309541.0,8.19,48,2018-06-13,PaidOff,C
5335,9654,35882.0,9.32,36,2017-09-11,Current,E
5336,1843,14895.0,7.4,36,2016-07-31,Current,C
5337,7701,10281.0,7.53,36,2024-07-31,PaidOff,D
5338,9652,6907.0,6.28,24,2022-09-18,PaidOff,C
5339,6554,21212.0,8.12,60,2023-12-13,PaidOff,B
5340,7307,15203.0,5.85,60,2020-03-18,Current,A
5341,8026,67336.0,6.8,36,2024-06-10,Current,C
5342,1356,68261.0,7.95,24,2024-06-12,Current,C
5343,9056,49022.0,5.24,60,2017-01-01,Current,C
5344,2354,11888.0,7.4,48,2019-09-06,PaidOff,C
5345,2727,6411.0,5.72,36,2021-07-16,Current,B
5346,7263,15025.0,8.46,24,2016-12-13,PaidOff,D
5347,5837,22062.0,6.06,12,2023-11-27,Defaulted,D
5348,7250,37222.0,8.6,48,2024-09-29,Current,D
5349,10042,5721.0,8.13,24,2019-08-21,PaidOff,D
5350,4169,15358.0,8.81,36,2021-06-14,PaidOff,D
5351,9378,154209.0,12.35,36,2020-11-04,PaidOff,D
5352,3646,46034.0,9.15,12,2017-10-31,PaidOff,E
5353,4529,16582.0,4.78,36,2023-08-30,PaidOff,A
5354,9592,74149.0,7.33,36,2018-08-08,PaidOff,C
5355,4162,14087.0,7.28,36,2018-04-17,Current,C
5356,1966,18752.0,6.03,36,2020-10-05,PaidOff,A
5357,4696,157451.0,8.21,36,2015-01-21,PaidOff,D
5358,3701,59927.0,7.21,48,2022-12-01,Current,A
5359,8235,594851.0,10.46,60,2022-05-12,Current,C
5360,9600,18840.0,7.24,60,2019-06-29,Defaulted,C
5361,2182,7972.0,5.29,36,2024-04-20,Current,C
5362,4405,65952.0,12.92,60,2018-01-04,Current,D
5363,2144,30697.0,6.61,36,2021-01-28,PaidOff,A
5364,9997,204478.0,7.79,36,2021-08-12,PaidOff,C
5365,7297,6924.0,8.74,36,2021-05-14,Current,B
5366,9598,26937.0,6.61,36,2023-07-30,Current,D
5367,5476,71845.0,7.73,48,2023-07-09,Current,B
5368,10905,44468.0,6.81,48,2024-02-02,Defaulted,E
5369,10833,297673.0,8.97,36,2020-10-02,Defaulted,E
5370,10930,23145.0,6.45,24,2019-04-27,PaidOff,B
5371,4660,5114.0,8.24,48,2024-02-20,Current,B
5372,6296,8306.0,4.8,48,2022-06-19,Current,E
5373,6782,17624.0,7.33,48,2024-02-15,PaidOff,A
5374,2629,15926.0,5.83,24,2015-04-26,PaidOff,C
5375,8735,128112.0,5.32,48,2017-03-19,PaidOff,D
5376,5530,13956.0,10.85,36,2018-11-30,PaidOff,D
5377,10230,45605.0,9.92,36,2022-08-07,PaidOff,C
5378,5802,65388.0,8.09,36,2022-10-19,Current,D
5379,2607,29582.0,9.92,36,2022-01-15,PaidOff,D
5380,6929,15166.0,7.26,12,2023-09-11,PaidOff,C
5381,9179,153681.0,6.37,60,2023-02-25,PaidOff,A
5382,3095,22227.0,13.23,36,2024-08-18,Defaulted,E
5383,3605,18107.0,6.74,60,2021-10-17,Current,B
5384,9745,66787.0,7.82,48,2024-06-21,Current,C
5385,3224,365823.0,8.51,36,2020-01-03,Defaulted,D
5386,9821,154093.0,6.87,48,2023-12-15,PaidOff,B
5387,9646,36818.0,5.98,36,2020-08-30,Current,C
5388,4637,20641.0,8.73,48,2019-10-26,PaidOff,D
5389,2250,11903.0,6.69,60,2016-03-30,Current,C
5390,7802,69051.0,8.14,36,2019-12-21,PaidOff,D
5391,6108,43681.0,8.03,48,2023-05-26,PaidOff,A
5392,10474,62188.0,8.37,12,2023-06-14,PaidOff,D
5393,8978,126498.0,7.79,24,2017-04-20,PaidOff,B
5394,9275,31841.0,10.22,36,2024-08-26,Current,E
5395,10080,16917.0,8.01,36,2016-02-05,PaidOff,B
5396,7433,15853.0,5.95,36,2020-03-21,Current,C
5397,9617,16540.0,6.74,36,2020-01-24,Current,C
5398,8350,8267.0,10.18,24,2022-12-21,Defaulted,E
5399,3211,21171.0,5.22,36,2021-06-11,PaidOff,B
5400,3237,25653.0,7.55,48,2018-05-05,Current,C
5401,3455,32923.0,9.16,24,2019-12-27,PaidOff,A
5402,10304,12141.0,11.9,60,2018-06-19,PaidOff,D
5403,10992,84610.0,7.92,12,2020-08-27,Current,A
5404,2272,167235.0,8.46,36,2019-05-25,PaidOff,D
5405,9870,15003.0,8.21,48,2018-08-04,PaidOff,C
5406,4231,13944.0,8.09,60,2022-10-15,Current,C
5407,4240,53696.0,7.47,36,2021-05-11,PaidOff,B
5408,1097,67701.0,7.1,60,2015-11-08,PaidOff,C
5409,3066,15947.0,11.13,24,2023-04-11,PaidOff,E
5410,7655,22867.0,6.99,60,2024-04-11,PaidOff,C
5411,8034,20915.0,7.36,24,2021-01-04,Current,A
5412,10301,457150.0,6.39,36,2015-08-23,Current,C
5413,9872,1184632.0,7.06,36,2024-07-17,PaidOff,A
5414,2363,99810.0,6.52,60,2018-01-15,PaidOff,A
5415,4197,21852.0,6.2,36,2020-08-31,Current,A
5416,4203,138222.0,5.21,36,2018-05-06,Current,B
5417,8683,36434.0,5.83,60,2022-06-03,PaidOff,D
5418,9623,60271.0,10.11,36,2017-08-04,Current,E
5419,7171,32109.0,5.76,36,2016-07-06,PaidOff,D
5420,1393,37158.0,8.09,36,2021-03-14,PaidOff,B
5421,9320,40276.0,11.06,36,2024-09-06,Current,E
5422,6109,15010.0,8.43,24,2018-02-28,PaidOff,D
5423,2185,66351.0,7.38,48,2021-04-28,Current,B
5424,4168,19594.0,7.68,36,2017-03-01,PaidOff,B
5425,4617,26744.0,9.25,36,2017-04-26,PaidOff,E
5426,3103,110804.0,7.81,24,2023-10-27,PaidOff,C
5427,5157,85989.0,6.79,12,2017-04-02,Current,B
5428,3896,56705.0,4.27,24,2021-03-19,PaidOff,B
5429,10832,26458.0,6.14,36,2021-06-16,PaidOff,A
5430,5643,124063.0,9.52,36,2023-07-20,Current,E
5431,3959,58623.0,6.54,24,2021-08-04,PaidOff,A
5432,4535,17265.0,9.44,60,2022-10-19,PaidOff,E
5433,8678,201605.0,6.26,36,2023-01-05,PaidOff,D
5434,7650,181316.0,5.79,48,2021-02-06,Current,B
5435,7122,33809.0,6.55,60,2023-03-22,Current,D
5436,5865,9822.0,7.32,24,2024-09-27,Current,C
5437,8291,32209.0,8.82,36,2019-12-05,PaidOff,D
5438,5272,37135.0,8.9,24,2021-05-04,Current,B
5439,6714,35356.0,7.87,24,2022-10-10,Current,C
5440,2128,88604.0,5.43,24,2022-05-16,PaidOff,C
5441,1054,42185.0,6.84,36,2024-07-01,PaidOff,B
5442,1257,9846.0,7.53,60,2023-11-08,PaidOff,D
5443,1651,11656.0,7.27,24,2018-11-10,PaidOff,C
5444,5537,36925.0,10.89,12,2019-06-19,Current,C
5445,7449,7129.0,5.39,48,2016-01-19,Current,D
5446,10245,14797.0,5.22,24,2017-12-21,PaidOff,A
5447,10357,49372.0,9.92,36,2024-04-11,Current,D
5448,6959,10273.0,7.63,36,2017-03-30,PaidOff,D
5449,3654,80721.0,6.16,24,2016-05-01,Current,B
